education_key,literacy_rate_total,literacy_rate_male,literacy_rate_female,enrollment_rate_primary_total,enrollment_rate_primary_male,enrollment_rate_primary_female,enrollment_rate_secondary_total,enrollment_rate_secondary_male,enrollment_rate_secondary_female,enrollment_rate_tertiary_total,enrollment_rate_tertiary_male,enrollment_rate_tertiary_female,public_education_spending
1,,,,115.2991486,115.8330917,114.7470779,92.76067352,88.82038879,96.80098724,63.96667099,52.59029,75.46852875,3.860009909
2,98.6108017,98.72718811,98.51077271,117.2033005,117.5447235,116.8499985,91.81352997,87.36026764,96.38414764,66.96472931,53.6077,80.48403168,4.128210068
3,,,,118.0511093,118.2247772,117.8712921,91.91613007,87.02944183,96.93862152,66.41162872,53.17609,79.81720734,4.462600231
4,,,,118.5934601,118.8308334,118.34758,93.23705292,87.90686798,98.72424316,68.05695343,54.44815,81.85146332,4.844409943
5,98.98342133,98.96272278,99.00176239,117.905983,118.1700211,117.6324081,96.61971283,91.45230103,101.948082,70.20645905,56.4313,84.18763733,5.531050205
6,98.95497131,98.98532104,98.92807007,116.9757614,117.7034378,116.2216721,99.50125885,94.99504089,104.15448,73.23139954,58.88202,87.82827759,5.019710064
7,99.10832977,99.22830963,98.99983978,115.6147308,116.2863922,114.9186401,101.5350037,96.61753845,106.6154709,76.29740143,60.00511,92.92044067,5.290629864
8,99.10523224,99.11112976,99.0999527,114.2271729,114.8913803,113.5387573,103.4764786,99.12242126,107.9771423,77.44628906,60.60361,94.67601013,5.345829964
9,99.12194824,99.15602875,99.09120941,112.0119476,112.4775314,111.5293427,105.0414124,101.2330017,108.9802322,78.22389984,60.34128,96.5550766,5.436610222
10,98.99388885,99.06124878,98.93282318,111.459671,111.5726318,111.3425522,106.0355606,102.5928116,109.5981064,80.99581146,62.19477,100.3012238,5.361440182
11,99.17996216,99.14824677,99.20877075,111.3034134,111.3686981,111.2357025,106.9464722,103.8439713,110.1584091,84.0019989,64.05334,104.5159073,5.776110172
12,99.12500763,99.1049881,99.14309692,110.7391815,110.8675385,110.6060715,108.4623337,106.0881805,110.9198685,87.21344757,65.87956,109.1672134,5.545489788
13,,,,109.7414627,109.8510818,109.6277771,108.7335968,106.5118332,111.0334625,89.95851898,67.77473,112.798439,5.454319954
14,99.0038681,98.93773651,99.06204224,109.6591721,109.6044083,109.7159729,107.6472778,105.4238968,109.9492188,91.6006012,,114.6464462,4.945519924
15,,,,109.5162964,109.4128876,109.623558,108.2308426,106.1297226,110.4068527,95.44790649,,120.2840424,4.802370071
16,,,,,,,,,,,,,
