quality_of_life_key,gni,hci_total,hci_male,hci_female,poverty_headcount_ratio,labor_force_total,unemployment_rate_total,unemployment_rate_male,unemployment_rate_female,access_to_drinking_water,access_to_sanitation,access_to_handwashing_facilities
1,4260,,,,,17396830,11.51000023,10.03199959,13.56299973,97.42319597,89.86410386,
2,5480,,,,,17709282,10.07999992,8.394000053,12.39000034,97.63347995,90.3920797,
3,6510,,,,,17752637,8.470000267,7.032999992,10.46000004,97.83887029,90.91980455,
4,7670,,,,,17796615,7.840000153,6.497000217,9.720999718,98.03963014,91.44751476,
5,7790,,,,,18144303,8.649999619,7.777999878,9.852999687,98.23571573,91.97501431,
6,9270,0.588557065,0.565431118,0.612291396,,18158593,7.710000038,6.663000107,9.187999725,98.42725533,92.50233092,
7,10710,,,,,18563047,7.179999828,6.248000145,8.501000404,98.61329285,93.02688168,
8,11870,,,,,18728448,7.21999979,6.079999924,8.819000244,98.79495003,93.55005363,
9,12840,,,,,18849614,7.099999905,6.117000103,8.484000206,98.85206691,94.01399452,
10,12330,,,,,18928695,7.269999981,6.480999947,8.373999596,98.90931952,94.48011382,
11,12590,,,,,19106351,7.520999908,6.727000237,8.623999596,98.96658815,94.9480284,
12,12220,,,,30.3,19274835,8.111000061,7.295000076,9.234000206,99.0238575,95.41770247,
13,13140,0.611,0.59,0.632,25.7,19446034,8.350000381,7.527999878,9.472999573,,,
14,12430,0.617366731,0.607066631,0.627702117,32,19952439,9.220000267,8.223999977,10.54100037,,,
15,11250,,,,35.5,20429749,9.840000153,9.187000275,10.69799995,,,
16,9070,0.602144718,0.591290057,0.613279402,42,19208592,11.46000004,10.76299953,12.375,,,
17,550,,,,40,53123178,4.25,3.358999968,7.050000191,95.59186057,31.19445716,19.9605258
18,570,,,,,54083636,3.589999914,2.670000076,6.464000225,95.76021655,32.75983902,20.18406256
19,610,,,,,54954286,4.126999855,3.232000113,6.84800005,95.92502197,34.32547217,20.41138896
20,660,,,,,55799460,4.566999912,3.710999966,7.104000092,96.0861324,35.89006951,20.64218633
21,730,,,,,56639145,5,4.181000233,7.366000175,96.24343833,37.45237978,20.87614236
22,800,,,,31.5,57493263,3.380000114,3.003999949,4.43900013,96.39688709,39.0115438,24.42005025
23,890,,,,,58436990,3.770999908,3.125,5.545000076,96.54632933,40.56613749,27.93989766
24,970,,,,,59377977,4.118999958,3.194999933,6.598999977,96.69158904,42.1145323,31.43384069
25,1040,,,,,60318372,4.429999828,3.226000071,7.587999821,96.83255493,43.65543619,34.90063361
26,1110,,,,,61262254,4.383999825,3.174000025,7.481999874,96.96925348,45.18826042,38.34090253
27,1220,,,,,62203550,4.366000175,3.145999908,7.418000221,97.10160247,46.71185422,41.75359784
28,1370,,,,24.3,63131472,4.349999905,3.118000031,7.356999874,97.22961308,48.22553857,45.13910117
29,1520,0.479,0.465,0.492,,66854855,4.369999886,3.335000038,6.710000038,97.35325339,49.72841199,48.49695897
30,1750,0.458553284,0.446381837,0.471527904,,68073235,4.413000107,3.375999928,6.743999958,97.47252486,51.21970677,51.82701989
31,1930,,,,,69229775,4.438000202,3.403000116,6.755000114,97.58742193,52.69870337,55.12933108
32,2030,0.464036435,0.451447725,0.477598071,,68412678,5.413000107,4.291999817,8,97.69796025,54.16469553,58.40395427
33,4000,,,,,88870707,9.569999695,7.375999928,12.53899956,95.08413702,77.56479232,
34,4850,,,,,89980224,8.640000343,6.613999844,11.375,95.38418309,78.43290643,
35,6190,,,,,91126146,8.329999924,6.25,11.13099957,95.67762486,79.29597638,
36,7620,,,,,92409809,7.340000153,5.414999962,9.944000244,95.96456826,80.1540827,
37,8320,,,,,94205652,8.520000458,6.402999878,11.35599995,96.24479886,81.00652682,
38,9650,0.532952487,,,,94040209,7.274000168,5.387000084,9.833999634,96.51879691,81.85420444,
39,11080,,,,,93794015,6.920000076,5.09100008,9.437000275,96.78798047,82.70058102,
40,12310,,,,,94871140,7.190000057,5.820000172,9.067000389,97.05098,83.54222598,
41,12790,,,,,96095664,6.980000019,5.670000076,8.776000023,97.30767638,84.37851825,
42,12120,,,,,97184947,6.659999847,5.593999863,8.114999771,97.55858195,85.21064211,
43,10190,,,,,98729764,8.430000305,7.217999935,10.06000042,97.80356759,86.03796198,
44,8920,,,,,99749646,11.60000038,10.20699978,13.4659996,97.95583878,86.86024254,
45,8700,0.56,,,,101501800,12.81999969,11.36900043,14.71800041,98.45095466,87.67795802,
46,9170,0.545723736,,,,102576163,12.32999992,10.86800003,14.22700024,98.67949474,88.49054496,
47,9270,,,,,104376954,11.93000031,10.20600033,14.13899994,98.93554441,89.29879625,
48,7850,0.551497936,,,,96539743,13.68999958,11.93099976,16.04199982,99.32085299,90.07847103,
49,34810,,,,,17821886,6.760000229,7.017000198,6.46600008,99.23464422,99.80519484,
