country,year,education,health,quality_of_life,population,quality_of_life_index,development_index,human_development_index
1,1,1,1,1,1,,1,3
1,2,2,2,2,2,,1,5
1,3,3,3,3,3,,1,3
1,4,4,4,4,4,,1,5
1,5,5,5,5,5,,1,5
1,6,6,6,6,6,,1,3
1,7,7,7,7,7,,1,5
1,8,8,8,8,8,5,1,5
1,9,9,9,9,9,5,1,5
1,10,10,10,10,10,5,1,5
1,11,11,11,11,11,5,1,2
1,12,12,12,12,12,,1,5
1,13,13,13,13,13,,1,5
1,14,14,14,14,14,,1,5
1,15,15,15,15,15,,1,5
1,16,16,16,16,16,,1,5
2,1,17,17,17,17,,3,4
2,2,18,18,18,18,,3,5
2,3,19,19,19,19,,3,4
2,4,20,20,20,20,,3,5
2,5,21,21,21,21,,3,5
2,6,22,22,22,22,,3,4
2,7,23,23,23,23,,3,5
2,8,24,24,24,24,5,3,5
2,9,25,25,25,25,5,3,5
2,10,26,26,26,26,5,3,5
2,11,27,27,27,27,5,3,4
2,12,28,28,28,28,,3,5
2,13,29,29,29,29,,3,5
2,14,30,30,30,30,,3,5
2,15,31,31,31,31,,3,5
2,16,32,32,32,32,,3,5
3,1,33,33,33,33,,2,4
3,2,34,34,34,34,,2,5
3,3,35,35,35,35,,2,4
3,4,36,36,36,36,,2,5
3,5,37,37,37,37,,2,5
3,6,38,38,38,38,,2,4
3,7,39,39,39,39,,2,5
3,8,40,40,40,40,5,2,5
3,9,41,41,41,41,5,2,5
3,10,42,42,42,42,5,2,5
3,11,43,43,43,43,5,2,4
3,12,44,44,44,44,,2,5
3,13,45,45,45,45,,2,5
3,14,46,46,46,46,,2,5
3,15,47,47,47,47,,2,5
3,16,48,48,48,48,,2,5
4,1,49,49,49,49,,1,1
4,2,50,50,50,50,,1,5
4,3,51,51,51,51,,1,1
4,4,52,52,52,52,,1,5
4,5,53,53,53,53,,1,5
4,6,54,54,54,54,,1,1
4,7,55,55,55,55,,1,5
4,8,56,56,56,56,2,1,5
4,9,57,57,57,57,1,1,5
4,10,58,58,58,58,1,1,5
4,11,59,59,59,59,1,1,1
4,12,60,60,60,60,,1,5
4,13,61,61,61,61,,1,5
4,14,62,62,62,62,,1,5
4,15,63,63,63,63,,1,5
4,16,64,64,64,64,,1,5
5,1,65,65,65,65,,2,4
5,2,66,66,66,66,,2,5
5,3,67,67,67,67,,2,4
5,4,68,68,68,68,,2,5
5,5,69,69,69,69,,2,5
5,6,70,70,70,70,,2,4
5,7,71,71,71,71,,2,5
5,8,72,72,72,72,5,2,5
5,9,73,73,73,73,5,2,5
5,10,74,74,74,74,5,2,5
5,11,75,75,75,75,5,2,3
5,12,76,76,76,76,,2,5
5,13,77,77,77,77,,2,5
5,14,78,78,78,78,,2,5
5,15,79,79,79,79,,2,5
5,16,80,80,80,80,,2,5
6,1,81,81,81,81,,3,4
6,2,82,82,82,82,,3,5
6,3,83,83,83,83,,3,4
6,4,84,84,84,84,,3,5
6,5,85,85,85,85,,3,5
6,6,86,86,86,86,,3,4
6,7,87,87,87,87,,3,5
6,8,88,88,88,88,5,3,5
6,9,89,89,89,89,5,3,5
6,10,90,90,90,90,5,3,5
6,11,91,91,91,91,5,3,4
6,12,92,92,92,92,,3,5
6,13,93,93,93,93,,3,5
6,14,94,94,94,94,,3,5
6,15,95,95,95,95,,3,5
6,16,96,96,96,96,,3,5
7,1,97,97,97,97,,2,4
7,2,98,98,98,98,,2,5
7,3,99,99,99,99,,2,4
7,4,100,100,100,100,,2,5
7,5,101,101,101,101,,2,5
7,6,102,102,102,102,,2,4
7,7,103,103,103,103,,2,5
7,8,104,104,104,104,5,2,5
7,9,105,105,105,105,5,2,5
7,10,106,106,106,106,5,2,5
7,11,107,107,107,107,5,2,4
7,12,108,108,108,108,,2,5
7,13,109,109,109,109,,2,5
7,14,110,110,110,110,,2,5
7,15,111,111,111,111,,2,5
7,16,112,112,112,112,,2,5
8,1,113,113,113,113,,3,4
8,2,114,114,114,114,,3,5
8,3,115,115,115,115,,3,4
8,4,116,116,116,116,,3,5
8,5,117,117,117,117,,3,5
8,6,118,118,118,118,,3,4
8,7,119,119,119,119,,3,5
8,8,120,120,120,120,5,3,5
8,9,121,121,121,121,5,3,5
8,10,122,122,122,122,5,3,5
8,11,123,123,123,123,5,3,4
8,12,124,124,124,124,,3,5
8,13,125,125,125,125,,3,5
8,14,126,126,126,126,,3,5
8,15,127,127,127,127,,3,5
8,16,128,128,128,128,,3,5
9,1,129,129,129,129,,1,2
9,2,130,130,130,130,,1,5
9,3,131,131,131,131,,1,2
9,4,132,132,132,132,,1,5
9,5,133,133,133,133,,1,5
9,6,134,134,134,134,,1,2
9,7,135,135,135,135,,1,5
9,8,136,136,136,136,3,1,5
9,9,137,137,137,137,1,1,5
9,10,138,138,138,138,1,1,5
9,11,139,139,139,139,1,1,2
9,12,140,140,140,140,,1,5
9,13,141,141,141,141,,1,5
9,14,142,142,142,142,,1,5
9,15,143,143,143,143,,1,5
9,16,144,144,144,144,,1,5
