Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Argentina,ARG,..,98.6108017,..,..,98.98342133,98.95497131,99.10832977,99.10523224,99.12194824,98.99388885,99.17996216,99.12500763,..,99.0038681,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bangladesh,BGD,..,..,46.66360092,..,..,..,58.7691803,57.86074829,61.01554108,61.09329987,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,74.9088974
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Brazil,BRA,..,89.61522675,90.0093689,90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Colombia,COL,92.84866333,92.29968262,92.6517868,93.37818146,93.24468994,93.37232971,93.58052826,..,..,94.18624878,94.24504852,94.65384674,..,95.09250641,95.24926758,95.63632965
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,India,IND,..,62.75447083,..,..,..,..,69.3025589,..,..,..,..,..,..,74.37299347,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Mexico,MEX,91.63027191,91.73451996,92.79517365,92.92559814,93.44187927,93.06893921,93.51998138,94.22840118,93.96285248,94.55587769,94.47228241,94.85961914,94.97277832,95.37991333,..,95.24784851
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Pakistan,PAK,49.87363815,54.15121078,52.13682938,55.526371,54.89263916,55.37519073,54.73802185,56.76433945,55.59498978,56.97714996,..,..,59.13204956,57.01057053,57.99885941,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Argentina,ARG,..,98.72718811,..,..,98.96272278,98.98532104,99.22830963,99.11112976,99.15602875,99.06124878,99.14824677,99.1049881,..,98.93773651,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Bangladesh,BGD,..,..,49.8323288,..,..,..,62.48305893,61.54286957,64.21376801,64.36508942,68.05535889,75.61885071,75.70236206,76.66925812,77.44149017,77.81671143
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Brazil,BRA,..,89.35324097,89.7721405,89.83786774,90.17484283,90.05618286,91.16898346,91.02567291,91.17796326,91.36676788,91.72515869,92.57515717,92.8915329,93.00904083,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Colombia,COL,92.77794647,92.39279938,92.42970276,93.31687927,93.06253815,93.25019073,93.48825836,..,..,93.86740112,94.06317139,94.40228271,..,94.85182953,95.01589203,95.38252258
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,India,IND,..,75.19190216,..,..,..,..,78.87722778,..,..,..,..,..,..,82.36670685,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Mexico,MEX,93.1904068,93.90119934,94.44151306,94.59216309,94.91657257,94.38394165,94.78276825,95.39163208,95.11210632,95.62046814,95.54933167,95.84481812,95.87236786,96.23290253,..,96.05874634
