Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,Argentina,ARG,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763
"Population, total",SP.POP.TOTL,Bangladesh,BGD,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383
"Population, total",SP.POP.TOTL,Brazil,BRA,186127108,188167353,190130445,192030362,193886505,195713637,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409
"Population, total",SP.POP.TOTL,Canada,CAN,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545295,37065178,37593384,38005238
"Population, total",SP.POP.TOTL,Colombia,COL,42647731,43200901,43737512,44254972,44750054,45222699,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884
"Population, total",SP.POP.TOTL,India,IND,1147609924,1165486291,1183209471,1200669762,1217726217,1234281163,1250287939,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385
"Population, total",SP.POP.TOTL,Mexico,MEX,106005199,107560155,109170503,110815272,112463886,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753
"Population, total",SP.POP.TOTL,Pakistan,PAK,160304007,164022626,167808106,171648984,175525610,179424643,183340168,187280125,191260799,195305012,199426953,203631356,207906210,212228288,216565317,220892331
"Population, total",SP.POP.TOTL,United States,USA,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
"Population, male",SP.POP.TOTL.MA.IN,Argentina,ARG,18897365,19095976,19293169,19490949,19692182,19846543,20082606,20318174,20552749,20785770,21016705,21245521,21472290,21696699,21918496,22137442
"Population, male",SP.POP.TOTL.MA.IN,Bangladesh,BGD,71221594,72087511,72855838,73565712,74272292,75015692,75809694,76643893,77504601,78368220,79217157,80048910,80869068,81677117,82473791,83259108
"Population, male",SP.POP.TOTL.MA.IN,Brazil,BRA,92002092,92970772,93900509,94798466,95674549,96536269,97385186,98220331,99043431,99855752,100657516,101450192,102232088,102996239,103733160,104435783
"Population, male",SP.POP.TOTL.MA.IN,Canada,CAN,15984826,16150387,16311491,16492292,16683829,16871021,17035831,17219264,17399107,17572607,17703599,17906490,18125530,18387468,18654019,18862750
"Population, male",SP.POP.TOTL.MA.IN,Colombia,COL,20901092,21171770,21434180,21687044,21928840,22159658,22374122,22575015,22780030,23013034,23288781,23618154,23990081,24370780,24713193,24984564
"Population, male",SP.POP.TOTL.MA.IN,India,IND,597052213,606386475,615629520,624720983,633583576,642164181,650436593,658420351,666165661,673747770,681223332,688604687,695880522,703055580,710129572,717100970
"Population, male",SP.POP.TOTL.MA.IN,Mexico,MEX,51836847,52588297,53381477,54200255,55020935,55825784,56609424,57375324,58125266,58863834,59594171,60315359,61024503,61720819,62403393,63071486
"Population, male",SP.POP.TOTL.MA.IN,Pakistan,PAK,82676228,84575681,86506754,88464386,90439737,92426989,94423091,96432134,98463549,100530360,102640691,104797415,106993868,109216763,111447581,113672007
"Population, male",SP.POP.TOTL.MA.IN,United States,USA,145826206,147268698,148697409,150129032,151473510,152766811,153923475,155107653,156240138,157439895,158643212,159825817,160859432,161719493,162462628,163034623
"Population, female",SP.POP.TOTL.FE.IN,Argentina,ARG,19995559,20193900,20391134,20589210,20790604,20941910,21178884,21415097,21650186,21883730,22115261,22344847,22572521,22797803,23020216,23239321
"Population, female",SP.POP.TOTL.FE.IN,Bangladesh,BGD,67813911,68833643,69804543,70738452,71652503,72559741,73463440,74361840,75256812,76149165,77039130,77928241,78816353,79699596,80572382,81430275
"Population, female",SP.POP.TOTL.FE.IN,Brazil,BRA,94125016,95196581,96229936,97231896,98211956,99177368,100129355,101066961,101992473,102907992,103814243,104712864,105601737,106473081,107316359,108123626
"Population, female",SP.POP.TOTL.FE.IN,Canada,CAN,16258927,16420787,16577534,16754826,16945066,17133868,17303497,17494958,17683847,17864828,17999309,18202997,18419765,18677710,18939365,19142488
"Population, female",SP.POP.TOTL.FE.IN,Colombia,COL,21746639,22029131,22303332,22567928,22821214,23063041,23288625,23500706,23715462,23954672,24231886,24556894,24919763,25290276,25626250,25898320
"Population, female",SP.POP.TOTL.FE.IN,India,IND,550557711,559099816,567579951,575948779,584142641,592116982,599851346,607359892,614676458,621852998,628929060,635912563,642796257,649586703,656288184,662903415
"Population, female",SP.POP.TOTL.FE.IN,Mexico,MEX,54168352,54971858,55789026,56615017,57442951,58267177,59086044,59898832,60701892,61491303,62264080,63018020,63752823,64469963,65172136,65861267
"Population, female",SP.POP.TOTL.FE.IN,Pakistan,PAK,77627779,79446945,81301352,83184598,85085873,86997654,88917077,90847991,92797250,94774652,96786262,98833941,100912342,103011525,105117736,107220324
"Population, female",SP.POP.TOTL.FE.IN,United States,USA,149690393,151111214,152533798,153964934,155298019,156560332,157660006,158770009,159819809,160946434,162095782,163245938,164262696,165118706,165867325,166449500
Urban population,SP.URB.TOTL,Argentina,ARG,35015688,35439468,35861117,36284568,36714243,37055902,37543830,38027774,38509756,38990109,39467043,39940546,40410674,40877099,41339571,41796990
Urban population,SP.URB.TOTL,Bangladesh,BGD,37274029,38777274,40283012,41802030,43352797,44954428,46610536,48311264,50047694,51817405,53608407,55423124,57259998,59115518,60987421,62873466
Urban population,SP.URB.TOTL,Brazil,BRA,154176529,156447982,158660054,160823508,162949974,165055096,167158531,169240747,171300683,173346780,175375428,177386817,179379296,181335496,183241634,185081854
Urban population,SP.URB.TOTL,Canada,CAN,25834340,26126316,26441461,26789863,27158023,27522537,27847821,28166078,28479640,28781576,29011826,29357013,29729597,30175132,30631841,30997832
Urban population,SP.URB.TOTL,Colombia,COL,32422511,33015425,33597407,34166609,34720224,35257425,35769913,36262053,36759801,37299404,37904385,38592067,39346013,40115208,40827302,41431388
Urban population,SP.URB.TOTL,India,IND,335503761,344622641,353850624,363154576,372465918,381763164,391040056,400416922,409907903,419567353,429428650,439501314,449795398,460304169,471031529,481980332
Urban population,SP.URB.TOTL,Mexico,MEX,80890447,82408288,83973951,85573769,87182004,88781438,90370887,91948802,93515785,95072133,96615314,98145003,99655907,101149483,102626859,104088701
Urban population,SP.URB.TOTL,Pakistan,PAK,54474508,56069494,57704173,59373384,61070625,62793242,64539406,66312147,68113708,69956302,71845554,73783786,75765181,77815624,79927762,82094635
Urban population,SP.URB.TOTL,United States,USA,236200507,238999326,241795278,244607104,247276259,249849720,252208133,254614421,256953576,259430732,261950744,264473000,266788716,268844029,270737596,272364755
