country,year,gni,unemployment_rate_total,unemployment_rate_male,unemployment_rate_female,enrollment_rate_primary_total,enrollment_rate_primary_male,enrollment_rate_primary_female,enrollment_rate_secondary_total,enrollment_rate_secondary_male,enrollment_rate_secondary_female,enrollment_rate_tertiary_total,enrollment_rate_tertiary_male,enrollment_rate_tertiary_female,population_urban,population_urban_percentage,population_urban_growth,population_rural,population_rural_percentage,population_rural_growth,life_expectancy_total,life_expectancy_male,life_expectancy_female,human_development_index
1.0,1.0,4260.0,11.51000023,10.03199959,13.56299973,115.2991486,115.8330917,114.7470779,92.76067352,88.82038879,96.80098724,63.96667099,52.59029,75.46852875,35015688.0,90.031,1.22638308678468,3877236.0,9.96899999999999,-0.664499364401251,74.451,71.008,77.831,3.0
1.0,2.0,5480.0,10.07999992,8.394000053,12.39000034,117.2033005,117.5447235,116.8499985,91.81352997,87.36026764,96.38414764,66.96472931,53.6077,80.48403168,35439468.0,90.2,1.20299247011043,3850408.0,9.8,-0.69434119334613,74.62,71.179,77.996,5.0
1.0,3.0,6510.0,8.470000267,7.032999992,10.46000004,118.0511093,118.2247772,117.8712921,91.91613007,87.02944183,96.93862152,66.41162872,53.17609,79.81720734,35861117.0,90.366,1.18275022667788,3823186.0,9.634,-0.709501028965398,74.787,71.347,78.16,3.0
1.0,4.0,7670.0,7.840000153,6.497000217,9.720999718,118.5934601,118.8308334,118.34758,93.23705292,87.90686798,98.72424316,68.05695343,54.44815,81.85146332,36284568.0,90.53,1.17389103087434,3795591.0,9.47,-0.72439764731213,74.952,71.513,78.323,5.0
1.0,5.0,7790.0,8.649999619,7.777999878,9.852999687,117.905983,118.1700211,117.6324081,96.61971283,91.45230103,101.948082,70.20645905,56.4313,84.18763733,36714243.0,90.691,1.1772245502055,3768543.0,9.309,-0.715167533627052,75.116,71.676,78.485,5.0
1.0,6.0,9270.0,7.710000038,6.663000107,9.187999725,116.9757614,117.7034378,116.2216721,99.50125885,94.99504089,104.15448,73.23139954,58.88202,87.82827759,37055902.0,90.849,0.926286488598646,3732551.0,9.151,-0.959654050967754,75.278,71.837,78.646,3.0
1.0,7.0,10710.0,7.179999828,6.248000145,8.501000404,115.6147308,116.2863922,114.9186401,101.5350037,96.61753845,106.6154709,76.29740143,60.00511,92.92044067,37543830.0,90.99,1.30814131603172,3717660.0,9.01000000000001,-0.399747599889796,75.439,71.995,78.806,5.0
1.0,8.0,11870.0,7.21999979,6.079999924,8.819000244,114.2271729,114.8913803,113.5387573,103.4764786,99.12242126,107.9771423,77.44628906,60.60361,94.67601013,38027774.0,91.121,1.28077370283392,3705497.0,8.879,-0.327704530158683,75.598,72.151,78.966,5.0
1.0,9.0,12840.0,7.099999905,6.117000103,8.484000206,112.0119476,112.4775314,111.5293427,105.0414124,101.2330017,108.9802322,78.22389984,60.34128,96.5550766,38509756.0,91.249,1.25948243003778,3693179.0,8.751,-0.332978802729149,75.756,72.306,79.124,5.0
1.0,10.0,12330.0,7.269999981,6.480999947,8.373999596,111.459671,111.5726318,111.3425522,106.0355606,102.5928116,109.5981064,80.99581146,62.19477,100.3012238,38990109.0,91.377,1.2396386789085,3679391.0,8.623,-0.374035541874903,75.913,72.46,79.281,5.0
1.0,11.0,12590.0,7.520999908,6.727000237,8.623999596,111.3034134,111.3686981,111.2357025,106.9464722,103.8439713,110.1584091,84.0019989,64.05334,104.5159073,39467043.0,91.503,1.21579706300955,3664923.0,8.497,-0.393992378745193,76.068,72.614,79.434,2.0
1.0,12.0,12220.0,8.111000061,7.295000076,9.234000206,110.7391815,110.8675385,110.6060715,108.4623337,106.0881805,110.9198685,87.21344757,65.87956,109.1672134,39940546.0,91.627,1.19260291906809,3649822.0,8.373,-0.412892628615815,76.221,72.768,79.583,5.0
1.0,13.0,13140.0,8.350000381,7.527999878,9.472999573,109.7414627,109.8510818,109.6277771,108.7335968,106.5118332,111.0334625,89.95851898,67.77473,112.798439,40410674.0,91.749,1.17019595911431,3634137.0,8.251,-0.43067305139086,76.372,72.924,79.726,5.0
1.0,14.0,12430.0,9.220000267,8.223999977,10.54100037,109.6591721,109.6044083,109.7159729,107.6472778,105.4238968,109.9492188,91.6006012,32.166669999999996,114.6464462,40877099.0,91.87,1.14760215897919,3617403.0,8.13,-0.461530370218559,76.52,73.082,79.863,5.0
1.0,15.0,11250.0,9.840000153,9.187000275,10.69799995,109.5162964,109.4128876,109.623558,108.2308426,106.1297226,110.4068527,95.44790649,32.166669999999996,120.2840424,41339571.0,91.991,1.12501972603644,3599141.0,8.009,-0.506115918707072,76.667,73.242,79.995,5.0
1.0,16.0,9070.0,11.46000004,10.76299953,12.375,108.8093681,107.8020592,109.31068805000001,93.42028809,90.19768906,97.200126645,35.819524765,32.166669999999996,38.545040130000004,41796990.0,92.111,1.10041505272326,3579773.0,7.889,-0.539581529777376,74.962,71.887,77.996,5.0
2.0,1.0,550.0,4.25,3.358999968,7.050000191,101.6478119,99.43054962,103.9545364,46.96282959,45.50960922,48.4769516,6.446700096,8.41769,4.3979702,37274029.0,26.809,4.11135670857974,101761476.0,73.191,0.539656217107946,67.773,66.949,68.715,4.0
2.0,2.0,570.0,3.589999914,2.670000076,6.464000225,102.416153,99.68595123,105.2583923,47.52978134,46.25743103,48.85300827,7.361199856,9.41337,5.228109837,38777274.0,27.517,3.95375426974228,102143880.0,72.483,0.375080337096801,68.213,67.318,69.24,5.0
2.0,3.0,610.0,4.126999855,3.232000113,6.84800005,101.6202469,98.141922,105.2410431,48.30105972,47.08351135,49.56628036,7.932970047,10.16529,5.627389908,40283012.0,28.237,3.8095488240978,102377369.0,71.763,0.228327474606987,68.648,67.679,69.761,4.0
2.0,4.0,660.0,4.566999912,3.710999966,7.104000092,99.5429306,96.61228943,102.5926285,46.24111938,43.57575989,49.01089096,8.884090424,11.40082,6.311450005,41802030.0,28.968,3.70150613260051,102502134.0,71.032,0.121793555329638,69.072,68.031,70.272,5.0
2.0,5.0,730.0,5.0,4.181000233,7.366000175,102.9275665,100.5688477,105.3820877,49.99824142,48.1570015,51.91283035,10.8580904,13.53788,8.118780136,43352797.0,29.709,3.64263195382955,102571998.0,70.291,0.068135363559973,69.485,68.37,70.773,5.0
2.0,6.0,800.0,3.380000114,3.003999949,4.43900013,105.9745483,102.82547,109.2534485,51.63769913,48.71955872,54.67509079,35.819524765,32.166669999999996,38.545040130000004,44954428.0,30.462,3.62780430377557,102621005.0,69.538,0.0477667368919127,69.881,68.694,71.257,4.0
2.0,7.0,890.0,3.770999908,3.125,5.545000076,108.8093681,107.8020592,109.31068805000001,52.43136978,48.81148148,56.19821167,13.69155979,16.13323,11.19707012,46610536.0,31.225,3.61773444758679,102662598.0,68.775,0.0405224771597168,70.256,68.996,71.721,5.0
